workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim20000000-482.sphinx3-234B,1.1011,1.8342,1.6658,0.6059,0.8493,0.9785,0.5653,31093,684,165083,126930,1.7693,1.6067,0.6559,0.7543,0.7661,0.5700
ya_warmup5000000_sim20000000-600.perlbench_s-210B,3.2469,3.2476,1.0002,0.4988,0.5423,0.2935,0.6142,86,207,320,201,3.2482,1.0004,0.3465,0.4420,0.2660,0.8009
ya_warmup5000000_sim20000000-465.tonto-44B,2.5674,2.5713,1.0015,0.7601,0.5297,0.9499,0.2329,9457,499,835,2750,2.5702,1.0011,0.8088,0.5087,0.8551,0.1895
ya_warmup5000000_sim20000000-473.astar-359B,0.1529,0.1618,1.0579,0.1193,0.3528,0.3211,0.1156,5766,12190,111977,856993,0.1648,1.0773,0.1078,0.3367,0.1291,0.0633
ya_warmup5000000_sim20000000-483.xalancbmk-716B,2.4246,2.5848,1.0661,0.2177,0.5441,0.1971,0.2583,8364,34073,5569,15991,2.5384,1.0469,0.5373,0.4104,0.5422,0.1505
ya_warmup5000000_sim20000000-401.bzip2-226B,3.2670,3.4749,1.0636,0.9796,0.8629,0.9905,0.9737,4566,44,8142,220,3.4029,1.0416,0.6183,0.6883,0.5439,0.9416
ya_warmup5000000_sim20000000-470.lbm-1274B,0.3658,0.3319,0.9073,0.8836,0.7745,0.8836,1.0000,110121,14511,83,0,0.3324,0.9087,0.8850,0.7765,0.8850,0.0000
ya_warmup5000000_sim20000000-454.calculix-460B,3.4870,3.7129,1.0648,0.9338,0.9078,0.9698,0.7762,119928,3730,21990,6339,3.7182,1.0663,0.8975,0.9046,0.9005,0.6723
ya_warmup5000000_sim20000000-437.leslie3d-271B,1.6852,3.6872,2.1880,0.9895,0.9629,0.9942,0.3314,47134,276,112,226,3.6843,2.1863,0.9940,0.9630,0.9940,0.0000
ya_warmup5000000_sim20000000-435.gromacs-111B,2.6998,2.7149,1.0056,0.7156,0.8684,0.1838,0.7589,86,382,4357,1384,2.7134,1.0051,0.3223,0.7895,0.2021,0.6183
ya_warmup5000000_sim20000000-429.mcf-217B,0.5344,0.6388,1.1955,0.6693,0.1360,0.9236,0.6120,43436,3593,127560,80882,0.6345,1.1875,0.6787,0.1312,0.7791,0.4891
ya_warmup5000000_sim20000000-429.mcf-22B,0.5081,0.5434,1.0695,0.4643,0.2892,0.9336,0.4389,16215,1153,140945,180169,0.5407,1.0643,0.5160,0.2530,0.6949,0.4161
ya_warmup5000000_sim20000000-453.povray-800B,2.4410,2.4472,1.0026,0.4121,0.5628,0.3769,0.6564,1363,2253,342,179,2.4328,0.9966,0.3021,0.5023,0.3010,0.7621
ya_warmup5000000_sim20000000-465.tonto-1914B,2.5936,2.6158,1.0086,0.4198,0.6313,0.8702,0.2406,4325,645,3005,9485,2.6101,1.0064,0.7018,0.5858,0.7646,0.1770
ya_warmup5000000_sim20000000-453.povray-887B,2.4954,2.4976,1.0009,0.4423,0.7643,0.4316,0.9733,1612,2123,73,2,2.4849,0.9958,0.3289,0.7929,0.3286,0.8974
ya_warmup5000000_sim20000000-401.bzip2-38B,2.0196,2.3492,1.1632,0.8702,0.9517,0.9946,0.8430,10883,59,42279,7873,2.3446,1.1609,0.8832,0.9450,0.9285,0.8648
ya_warmup5000000_sim20000000-459.GemsFDTD-1418B,1.2554,2.2026,1.7544,0.8787,0.7847,0.8629,0.8817,14295,2271,78127,10483,2.1530,1.7150,0.8605,0.7847,0.8517,0.8980
ya_warmup5000000_sim20000000-483.xalancbmk-127B,0.5421,0.5348,0.9866,0.2010,0.4067,0.3234,0.2009,283,592,228923,910298,0.5788,1.0677,0.2510,0.3941,0.3265,0.2361
ya_warmup5000000_sim20000000-481.wrf-1170B,2.9939,3.0375,1.0145,0.9487,0.5191,0.4315,0.9644,63,83,4656,172,3.0358,1.0140,0.3696,0.4668,0.2385,0.9506
ya_warmup5000000_sim20000000-464.h264ref-64B,2.4141,2.5624,1.0614,0.4341,0.8326,0.7842,0.4174,1871,515,20862,29124,2.5508,1.0566,0.5498,0.7686,0.6516,0.4187
ya_warmup5000000_sim20000000-445.gobmk-17B,1.4961,1.5165,1.0137,0.2122,0.5145,0.1594,0.2125,33,174,8407,31159,1.5134,1.0116,0.2241,0.4618,0.2917,0.1879
ya_warmup5000000_sim20000000-464.h264ref-30B,2.8990,2.8836,0.9947,0.4170,0.3836,0.8507,0.2713,5315,933,5048,13557,2.8879,0.9961,0.5405,0.2969,0.7220,0.2635
ya_warmup5000000_sim20000000-433.milc-274B,1.0428,1.1455,1.0985,0.5324,0.5595,0.9993,0.3526,68158,46,62417,114616,1.1375,1.0909,0.9388,0.4711,0.9547,0.2733
ya_warmup5000000_sim20000000-403.gcc-48B,3.3903,3.5255,1.0399,0.3225,0.7052,0.3368,0.3219,130,256,2926,6164,3.5025,1.0331,0.4118,0.6478,0.4292,0.2881
ya_warmup5000000_sim20000000-444.namd-44B,3.6320,3.6524,1.0056,0.8477,0.7047,0.8072,1.0000,2579,616,850,0,3.6519,1.0055,0.6337,0.6518,0.6322,1.0000
ya_warmup5000000_sim20000000-600.perlbench_s-570B,3.2924,3.2992,1.0021,0.6035,0.5426,0.2585,0.6978,106,304,1046,453,3.2949,1.0008,0.3602,0.3597,0.2088,0.8283
ya_warmup5000000_sim20000000-456.hmmer-88B,3.3776,3.4175,1.0118,0.8808,0.5269,0.7410,0.8952,1076,376,12568,1471,3.4140,1.0108,0.7473,0.3627,0.7674,0.5487
ya_warmup5000000_sim20000000-435.gromacs-226B,3.8865,3.9409,1.0140,0.8450,0.7371,0.2356,0.9852,172,558,3126,47,3.9334,1.0121,0.2570,0.4535,0.2266,0.9553
