workload,ipc_no,ipc_pmp,pmp_Speedup,pmp_Overall_Accuracy,pmp_LLC_Coverage,pmp_L1D_Coverage,pmp_L2C_Coverage,pmp_L1D_Accuracy,pmp_L2C_Accuracy,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless
ya_warmup5000000_sim200000000-403.gcc-48B,3.4352,3.5535,1.0344,0.2617,0.7087,0.1989,0.6502,0.2396,0.2619,271,860,30631,86315
ya_warmup5000000_sim200000000-444.namd-44B,3.6628,3.6865,1.0065,0.7780,0.8685,0.0362,0.8234,0.8549,0.6761,14815,2515,8848,4238
ya_warmup5000000_sim200000000-600.perlbench_s-570B,2.0962,2.0840,0.9942,0.1757,0.4016,0.0411,0.0000,0.3356,0.1756,247,489,157273,738326
ya_warmup5000000_sim200000000-456.hmmer-88B,3.4629,3.4871,1.0070,0.8715,0.6002,0.0658,0.4708,0.7709,0.8760,4923,1463,124681,17651
ya_warmup5000000_sim200000000-435.gromacs-226B,2.3630,2.4968,1.0566,0.6790,0.8616,0.1638,0.7309,0.9899,0.5084,118727,1208,111131,107444
ya_warmup5000000_sim200000000-458.sjeng-31B,1.4039,1.3905,0.9905,0.0327,0.0065,0.0372,0.0000,0.1128,0.0323,196,1541,14541,435010
ya_warmup5000000_sim200000000-437.leslie3d-273B,1.3156,2.5569,1.9435,0.9851,0.8929,0.7351,0.8710,0.9901,0.9770,625533,6254,381284,8960
ya_warmup5000000_sim200000000-400.perlbench-41B,2.1257,2.1282,1.0012,0.1837,0.5298,0.0603,0.0479,0.2851,0.1837,144,361,108592,482681
ya_warmup5000000_sim200000000-464.h264ref-57B,2.6180,2.7045,1.0330,0.4151,0.6166,0.3178,0.6740,0.8119,0.4013,11282,2614,160147,238972
ya_warmup5000000_sim200000000-429.mcf-192B,0.0912,0.1249,1.3684,0.3631,0.5867,0.0050,0.3428,0.0000,0.3631,0,0,9838351,17255544
ya_warmup5000000_sim200000000-453.povray-252B,2.4651,2.4644,0.9997,0.4695,0.5918,0.0000,0.4344,0.4421,0.6339,3511,4430,838,484
ya_warmup5000000_sim200000000-444.namd-23B,3.5888,3.6423,1.0149,0.5924,0.9050,0.0380,0.8351,0.7118,0.5757,4392,1778,25284,18637
ya_warmup5000000_sim200000000-458.sjeng-1088B,1.4119,1.3974,0.9897,0.0242,0.0036,0.0448,0.0000,0.0988,0.0240,153,1395,10623,432640
ya_warmup5000000_sim200000000-434.zeusmp-10B,2.7504,3.2471,1.1806,0.1732,0.7077,0.2005,0.5850,0.0763,0.4253,100296,1213461,214770,290163
ya_warmup5000000_sim200000000-433.milc-127B,0.6971,0.8115,1.1642,0.5058,0.3858,0.4345,0.3847,0.9705,0.2256,916138,27860,353042,1212143
ya_warmup5000000_sim200000000-447.dealII-3B,2.9658,2.9693,1.0012,0.8289,0.7241,0.0330,0.6872,0.8809,0.4812,22709,3069,1858,2003
ya_warmup5000000_sim200000000-450.soplex-247B,0.3250,0.4064,1.2504,0.5047,0.5481,0.1766,0.4626,0.9843,0.4594,633865,10112,3130220,3683564
ya_warmup5000000_sim200000000-401.bzip2-7B,2.3063,2.4252,1.0516,0.8140,0.8759,0.3579,0.7423,0.9718,0.6473,518097,15026,326527,177920
ya_warmup5000000_sim200000000-416.gamess-875B,2.9000,2.9020,1.0007,0.5891,0.7108,0.0012,0.5062,0.2697,0.6063,41,111,1711,1111
ya_warmup5000000_sim200000000-401.bzip2-277B,1.9258,2.0382,1.0583,0.2512,0.6825,0.3901,0.3030,0.9323,0.2335,41348,3003,396358,1301416
ya_warmup5000000_sim200000000-482.sphinx3-1100B,1.1912,1.9062,1.6002,0.6229,0.8483,0.6353,0.7677,0.9817,0.5102,729212,13587,1206162,1157901
ya_warmup5000000_sim200000000-454.calculix-104B,1.9401,1.9409,1.0004,0.9562,0.6469,0.1021,0.6289,0.4860,1.0000,52,55,1148,0
ya_warmup5000000_sim200000000-481.wrf-455B,1.6291,3.2048,1.9673,0.9611,0.9461,0.8833,0.9432,0.9650,0.9490,1014406,36777,325502,17475
